authority,version,code,name,body,ellipsoid,primeMeridianName,primeMeridianValue
IAU,2015,1000,Sun (2015),Sun,IAU:2015:1000,Reference_Meridian,0.0
IAU,2015,19900,Mercury (2015),Mercury,IAU:2015:19900,Hun Kal,20.0
IAU,2015,29900,Venus (2015),Venus,IAU:2015:29900,Ariadne,0.0
IAU,2015,30100,Moon (2015),Moon,IAU:2015:30100,Reference_Meridian,0.0
IAU,2015,39900,Earth (2015),Earth,IAU:2015:39900,Greenwich,0.0
IAU,2015,40100,Phobos (2015),Phobos,IAU:2015:40100,Reference_Meridian,0.0
IAU,2015,40200,Deimos (2015),Deimos,IAU:2015:40200,Reference_Meridian,0.0
IAU,2015,49900,Mars (2015),Mars,IAU:2015:49900,Airy-0,0.0
IAU,2015,50100,Io (2015),Io,IAU:2015:50100,Reference_Meridian,0.0
IAU,2015,50200,Europa (2015),Europa,IAU:2015:50200,Reference_Meridian,0.0
IAU,2015,50300,Ganymede (2015),Ganymede,IAU:2015:50300,Reference_Meridian,0.0
IAU,2015,50400,Callisto (2015),Callisto,IAU:2015:50400,Reference_Meridian,0.0
IAU,2015,50500,Amalthea (2015),Amalthea,IAU:2015:50500,Reference_Meridian,0.0
IAU,2015,50600,Himalia (2015),Himalia,IAU:2015:50600,Reference_Meridian,0.0
IAU,2015,50700,Elara (2015),Elara,IAU:2015:50700,Reference_Meridian,0.0
IAU,2015,50800,Pasiphae (2015),Pasiphae,IAU:2015:50800,Reference_Meridian,0.0
IAU,2015,50900,Sinope (2015),Sinope,IAU:2015:50900,Reference_Meridian,0.0
IAU,2015,51000,Lysithea (2015),Lysithea,IAU:2015:51000,Reference_Meridian,0.0
IAU,2015,51100,Carme (2015),Carme,IAU:2015:51100,Reference_Meridian,0.0
IAU,2015,51200,Ananke (2015),Ananke,IAU:2015:51200,Reference_Meridian,0.0
IAU,2015,51300,Leda (2015),Leda,IAU:2015:51300,Reference_Meridian,0.0
IAU,2015,51400,Thebe (2015),Thebe,IAU:2015:51400,Reference_Meridian,0.0
IAU,2015,51500,Adrastea (2015),Adrastea,IAU:2015:51500,Reference_Meridian,0.0
IAU,2015,51600,Metis (2015),Metis,IAU:2015:51600,Reference_Meridian,0.0
IAU,2015,59900,Jupiter (2015),Jupiter,IAU:2015:59900,Reference_Meridian,0.0
IAU,2015,60100,Mimas (2015),Mimas,IAU:2015:60100,Palomides,162.0
IAU,2015,60200,Enceladus (2015),Enceladus,IAU:2015:60200,Salih,5.0
IAU,2015,60300,Tethys (2015),Tethys,IAU:2015:60300,Arete,299.0
IAU,2015,60400,Dione (2015),Dione,IAU:2015:60400,Palinurus,63.0
IAU,2015,60500,Rhea (2015),Rhea,IAU:2015:60500,Tore,340.0
IAU,2015,60600,Titan (2015),Titan,IAU:2015:60600,Reference_Meridian,0.0
IAU,2015,60700,Hyperion (2015),Hyperion,IAU:2015:60700,Reference_Meridian,0.0
IAU,2015,60800,Iapetus (2015),Iapetus,IAU:2015:60800,Almeric,276.0
IAU,2015,60900,Phoebe (2015),Phoebe,IAU:2015:60900,Reference_Meridian,0.0
IAU,2015,61000,Janus (2015),Janus,IAU:2015:61000,Reference_Meridian,0.0
IAU,2015,61100,Epimetheus (2015),Epimetheus,IAU:2015:61100,Reference_Meridian,0.0
IAU,2015,61200,Helene (2015),Helene,IAU:2015:61200,Reference_Meridian,0.0
IAU,2015,61300,Telesto (2015),Telesto,IAU:2015:61300,Reference_Meridian,0.0
IAU,2015,61400,Calypso (2015),Calypso,IAU:2015:61400,Reference_Meridian,0.0
IAU,2015,61500,Atlas (2015),Atlas,IAU:2015:61500,Reference_Meridian,0.0
IAU,2015,61600,Prometheus (2015),Prometheus,IAU:2015:61600,Reference_Meridian,0.0
IAU,2015,61700,Pandora (2015),Pandora,IAU:2015:61700,Reference_Meridian,0.0
IAU,2015,61800,Pan (2015),Pan,IAU:2015:61800,Reference_Meridian,0.0
IAU,2015,63200,Methone (2015),Methone,IAU:2015:63200,Reference_Meridian,0.0
IAU,2015,63300,Pallene (2015),Pallene,IAU:2015:63300,Reference_Meridian,0.0
IAU,2015,63400,Polydeuces (2015),Polydeuces,IAU:2015:63400,Reference_Meridian,0.0
IAU,2015,63500,Daphnis (2015),Daphnis,IAU:2015:63500,Reference_Meridian,0.0
IAU,2015,64900,Anthe (2015),Anthe,IAU:2015:64900,Reference_Meridian,0.0
IAU,2015,65300,Aegaeon (2015),Aegaeon,IAU:2015:65300,Reference_Meridian,0.0
IAU,2015,69900,Saturn (2015),Saturn,IAU:2015:69900,Reference_Meridian,0.0
IAU,2015,70100,Ariel (2015),Ariel,IAU:2015:70100,Reference_Meridian,0.0
IAU,2015,70200,Umbriel (2015),Umbriel,IAU:2015:70200,Reference_Meridian,0.0
IAU,2015,70300,Titania (2015),Titania,IAU:2015:70300,Reference_Meridian,0.0
IAU,2015,70400,Oberon (2015),Oberon,IAU:2015:70400,Reference_Meridian,0.0
IAU,2015,70500,Miranda (2015),Miranda,IAU:2015:70500,Reference_Meridian,0.0
IAU,2015,70600,Cordelia (2015),Cordelia,IAU:2015:70600,Reference_Meridian,0.0
IAU,2015,70700,Ophelia (2015),Ophelia,IAU:2015:70700,Reference_Meridian,0.0
IAU,2015,70800,Bianca (2015),Bianca,IAU:2015:70800,Reference_Meridian,0.0
IAU,2015,70900,Cressida (2015),Cressida,IAU:2015:70900,Reference_Meridian,0.0
IAU,2015,71000,Desdemona (2015),Desdemona,IAU:2015:71000,Reference_Meridian,0.0
IAU,2015,71100,Juliet (2015),Juliet,IAU:2015:71100,Reference_Meridian,0.0
IAU,2015,71200,Portia (2015),Portia,IAU:2015:71200,Reference_Meridian,0.0
IAU,2015,71300,Rosalind (2015),Rosalind,IAU:2015:71300,Reference_Meridian,0.0
IAU,2015,71400,Belinda (2015),Belinda,IAU:2015:71400,Reference_Meridian,0.0
IAU,2015,71500,Puck (2015),Puck,IAU:2015:71500,Reference_Meridian,0.0
IAU,2015,79900,Uranus (2015),Uranus,IAU:2015:79900,Reference_Meridian,0.0
IAU,2015,80100,Triton (2015),Triton,IAU:2015:80100,Reference_Meridian,0.0
IAU,2015,80200,Nereid (2015),Nereid,IAU:2015:80200,Reference_Meridian,0.0
IAU,2015,80300,Naiad (2015),Naiad,IAU:2015:80300,Reference_Meridian,0.0
IAU,2015,80400,Thalassa (2015),Thalassa,IAU:2015:80400,Reference_Meridian,0.0
IAU,2015,80500,Despina (2015),Despina,IAU:2015:80500,Reference_Meridian,0.0
IAU,2015,80600,Galatea (2015),Galatea,IAU:2015:80600,Reference_Meridian,0.0
IAU,2015,80700,Larissa (2015),Larissa,IAU:2015:80700,Reference_Meridian,0.0
IAU,2015,80800,Proteus (2015),Proteus,IAU:2015:80800,Reference_Meridian,0.0
IAU,2015,89900,Neptune (2015),Neptune,IAU:2015:89900,Reference_Meridian,0.0
IAU,2015,90100,Charon (2015),Charon,IAU:2015:90100,Mean sub-Pluto meridian,0.0
IAU,2015,99900,Pluto (2015),Pluto,IAU:2015:99900,Mean sub-Charon meridian,0.0
IAU,2015,100001200,Churyumov-Gerasimenko (2015),Churyumov-Gerasimenko,IAU:2015:100001200,a large boulder called Cheops,0.0
IAU,2015,100003600,Halley (2015),Halley,IAU:2015:100003600,Reference_Meridian,0.0
IAU,2015,100004100,Hartley 2 (2015),Hartley 2,IAU:2015:100004100,Reference_Meridian,0.0
IAU,2015,100010700,Wild 2 (2015),Wild 2,IAU:2015:100010700,Reference_Meridian,0.0
IAU,2015,200000100,Ceres (2015),Ceres,IAU:2015:200000100,Kait,0.0
IAU,2015,200000400,Vesta (2015),Vesta,IAU:2015:200000400,Claudia,146.0
