authority,version,code,name,semiMajorAxis,semiMedianAxis,semiMinorAxis,inverseFlatenning
IAU,2015,1000,Sun (2015) - Sphere,695700000.0,,695700000.0,
IAU,2015,1001,Sun (2015),695700000.0,,695700000.0,
IAU,2015,19900,Mercury (2015) - Sphere,2440530.0,,2440530.0,
IAU,2015,19901,Mercury (2015),2440530.0,,2438260.0,
IAU,2015,29900,Venus (2015) - Sphere,6051800.0,,6051800.0,
IAU,2015,29901,Venus (2015),6051800.0,,6051800.0,
IAU,2015,30100,Moon (2015) - Sphere,1737400.0,,1737400.0,
IAU,2015,30101,Moon (2015),1737400.0,,1737400.0,
IAU,2015,39900,Earth (2015) - Sphere,6378136.6,,6378136.6,
IAU,2015,39901,Earth (2015),6378136.6,,6356751.9,
IAU,2015,40100,Phobos (2015) - Sphere,11080.0,,11080.0,
IAU,2015,40102,Phobos (2015),13000.0,11400.0,9100.0,
IAU,2015,40200,Deimos (2015) - Sphere,6200.0,,6200.0,
IAU,2015,40202,Deimos (2015),7800.0,6000.0,5100.0,
IAU,2015,49900,Mars (2015) - Sphere,3396190.0,,3396190.0,
IAU,2015,49901,Mars (2015),3396190.0,,3376200.0,
IAU,2015,50100,Io (2015) - Sphere,1821490.0,,1821490.0,
IAU,2015,50102,Io (2015),1829400.0,1819400.0,1815700.0,
IAU,2015,50200,Europa (2015) - Sphere,1560800.0,,1560800.0,
IAU,2015,50202,Europa (2015),1562600.0,1560300.0,1559500.0,
IAU,2015,50300,Ganymede (2015) - Sphere,2631200.0,,2631200.0,
IAU,2015,50301,Ganymede (2015),2631200.0,,2631200.0,
IAU,2015,50400,Callisto (2015) - Sphere,2410300.0,,2410300.0,
IAU,2015,50401,Callisto (2015),2410300.0,,2410300.0,
IAU,2015,50500,Amalthea (2015) - Sphere,83500.0,,83500.0,
IAU,2015,50502,Amalthea (2015),125000.0,73000.0,64000.0,
IAU,2015,50600,Himalia (2015) - Sphere,85000.0,,85000.0,
IAU,2015,50601,Himalia (2015),85000.0,,85000.0,
IAU,2015,50700,Elara (2015) - Sphere,40000.0,,40000.0,
IAU,2015,50701,Elara (2015),40000.0,,40000.0,
IAU,2015,50800,Pasiphae (2015) - Sphere,18000.0,,18000.0,
IAU,2015,50801,Pasiphae (2015),18000.0,,18000.0,
IAU,2015,50900,Sinope (2015) - Sphere,14000.0,,14000.0,
IAU,2015,50901,Sinope (2015),14000.0,,14000.0,
IAU,2015,51000,Lysithea (2015) - Sphere,12000.0,,12000.0,
IAU,2015,51001,Lysithea (2015),12000.0,,12000.0,
IAU,2015,51100,Carme (2015) - Sphere,15000.0,,15000.0,
IAU,2015,51101,Carme (2015),15000.0,,15000.0,
IAU,2015,51200,Ananke (2015) - Sphere,10000.0,,10000.0,
IAU,2015,51201,Ananke (2015),10000.0,,10000.0,
IAU,2015,51300,Leda (2015) - Sphere,5000.0,,5000.0,
IAU,2015,51301,Leda (2015),5000.0,,5000.0,
IAU,2015,51400,Thebe (2015) - Sphere,49300.0,,49300.0,
IAU,2015,51402,Thebe (2015),58000.0,49000.0,42000.0,
IAU,2015,51500,Adrastea (2015) - Sphere,8200.0,,8200.0,
IAU,2015,51502,Adrastea (2015),10000.0,8000.0,7000.0,
IAU,2015,51600,Metis (2015) - Sphere,21500.0,,21500.0,
IAU,2015,51602,Metis (2015),30000.0,20000.0,17000.0,
IAU,2015,59900,Jupiter (2015) - Sphere,71492000.0,,71492000.0,
IAU,2015,59901,Jupiter (2015),71492000.0,,66854000.0,
IAU,2015,60100,Mimas (2015) - Sphere,198200.0,,198200.0,
IAU,2015,60102,Mimas (2015),207800.0,196700.0,190600.0,
IAU,2015,60200,Enceladus (2015) - Sphere,252100.0,,252100.0,
IAU,2015,60202,Enceladus (2015),256600.0,251400.0,248300.0,
IAU,2015,60300,Tethys (2015) - Sphere,531000.0,,531000.0,
IAU,2015,60302,Tethys (2015),538400.0,528300.0,526300.0,
IAU,2015,60400,Dione (2015) - Sphere,561400.0,,561400.0,
IAU,2015,60402,Dione (2015),563400.0,561300.0,559600.0,
IAU,2015,60500,Rhea (2015) - Sphere,763500.0,,763500.0,
IAU,2015,60502,Rhea (2015),765000.0,763100.0,762400.0,
IAU,2015,60600,Titan (2015) - Sphere,2575000.0,,2575000.0,
IAU,2015,60602,Titan (2015),2575150.0,2574780.0,2574470.0,
IAU,2015,60700,Hyperion (2015) - Sphere,135000.0,,135000.0,
IAU,2015,60702,Hyperion (2015),180100.0,133000.0,102700.0,
IAU,2015,60800,Iapetus (2015) - Sphere,745700.0,,745700.0,
IAU,2015,60801,Iapetus (2015),745700.0,,712100.0,
IAU,2015,60900,Phoebe (2015) - Sphere,106500.0,,106500.0,
IAU,2015,60902,Phoebe (2015),109400.0,108500.0,101800.0,
IAU,2015,61000,Janus (2015) - Sphere,89200.0,,89200.0,
IAU,2015,61002,Janus (2015),101700.0,93000.0,76300.0,
IAU,2015,61100,Epimetheus (2015) - Sphere,58200.0,,58200.0,
IAU,2015,61102,Epimetheus (2015),64900.0,57300.0,53000.0,
IAU,2015,61200,Helene (2015) - Sphere,18000.0,,18000.0,
IAU,2015,61202,Helene (2015),22500.0,19600.0,13300.0,
IAU,2015,61300,Telesto (2015) - Sphere,12400.0,,12400.0,
IAU,2015,61302,Telesto (2015),16300.0,11800.0,9800.0,
IAU,2015,61400,Calypso (2015) - Sphere,9600.0,,9600.0,
IAU,2015,61402,Calypso (2015),15300.0,9300.0,6300.0,
IAU,2015,61500,Atlas (2015) - Sphere,15100.0,,15100.0,
IAU,2015,61502,Atlas (2015),20500.0,17800.0,9400.0,
IAU,2015,61600,Prometheus (2015) - Sphere,43100.0,,43100.0,
IAU,2015,61602,Prometheus (2015),68200.0,41600.0,28200.0,
IAU,2015,61700,Pandora (2015) - Sphere,40600.0,,40600.0,
IAU,2015,61702,Pandora (2015),52200.0,40800.0,31500.0,
IAU,2015,61800,Pan (2015) - Sphere,14000.0,,14000.0,
IAU,2015,61802,Pan (2015),17200.0,15400.0,10400.0,
IAU,2015,63200,Methone (2015) - Sphere,1450.0,,1450.0,
IAU,2015,63202,Methone (2015),1940.0,1290.0,1210.0,
IAU,2015,63300,Pallene (2015) - Sphere,2230.0,,2230.0,
IAU,2015,63302,Pallene (2015),2880.0,2080.0,1800.0,
IAU,2015,63400,Polydeuces (2015) - Sphere,1300.0,,1300.0,
IAU,2015,63402,Polydeuces (2015),1500.0,1200.0,1000.0,
IAU,2015,63500,Daphnis (2015) - Sphere,3800.0,,3800.0,
IAU,2015,63502,Daphnis (2015),4600.0,4500.0,2800.0,
IAU,2015,64900,Anthe (2015) - Sphere,500.0,,500.0,
IAU,2015,64901,Anthe (2015),500.0,,500.0,
IAU,2015,65300,Aegaeon (2015) - Sphere,330.0,,330.0,
IAU,2015,65302,Aegaeon (2015),700.0,250.0,200.0,
IAU,2015,69900,Saturn (2015) - Sphere,60268000.0,,60268000.0,
IAU,2015,69901,Saturn (2015),60268000.0,,54364000.0,
IAU,2015,70100,Ariel (2015) - Sphere,578900.0,,578900.0,
IAU,2015,70102,Ariel (2015),581100.0,577900.0,577700.0,
IAU,2015,70200,Umbriel (2015) - Sphere,584700.0,,584700.0,
IAU,2015,70201,Umbriel (2015),584700.0,,584700.0,
IAU,2015,70300,Titania (2015) - Sphere,788900.0,,788900.0,
IAU,2015,70301,Titania (2015),788900.0,,788900.0,
IAU,2015,70400,Oberon (2015) - Sphere,761400.0,,761400.0,
IAU,2015,70401,Oberon (2015),761400.0,,761400.0,
IAU,2015,70500,Miranda (2015) - Sphere,235800.0,,235800.0,
IAU,2015,70502,Miranda (2015),240400.0,234200.0,232900.0,
IAU,2015,70600,Cordelia (2015) - Sphere,13000.0,,13000.0,
IAU,2015,70601,Cordelia (2015),13000.0,,13000.0,
IAU,2015,70700,Ophelia (2015) - Sphere,15000.0,,15000.0,
IAU,2015,70701,Ophelia (2015),15000.0,,15000.0,
IAU,2015,70800,Bianca (2015) - Sphere,21000.0,,21000.0,
IAU,2015,70801,Bianca (2015),21000.0,,21000.0,
IAU,2015,70900,Cressida (2015) - Sphere,31000.0,,31000.0,
IAU,2015,70901,Cressida (2015),31000.0,,31000.0,
IAU,2015,71000,Desdemona (2015) - Sphere,27000.0,,27000.0,
IAU,2015,71001,Desdemona (2015),27000.0,,27000.0,
IAU,2015,71100,Juliet (2015) - Sphere,42000.0,,42000.0,
