authority,version,code,name,datum,csType,longitudeDirection
IAU,2015,1001,Sun (2015) / Ocentric,IAU:2015:1000,spherical,east
IAU,2015,19900,Mercury (2015) / Ographic,IAU:2015:19900,ellipsoidal,west
IAU,2015,19901,Mercury (2015) / Ocentric,IAU:2015:19900,spherical,east
IAU,2015,29900,Venus (2015) / Ographic,IAU:2015:29900,ellipsoidal,east
IAU,2015,29901,Venus (2015) / Ocentric,IAU:2015:29900,spherical,east
IAU,2015,30101,Moon (2015) / Ocentric,IAU:2015:30100,spherical,east
IAU,2015,39900,Earth (2015) / Ographic,IAU:2015:39900,ellipsoidal,east
IAU,2015,39901,Earth (2015) / Ocentric,IAU:2015:39900,spherical,east
IAU,2015,40100,Phobos (2015) / Ographic,IAU:2015:40100,ellipsoidal,west
IAU,2015,40101,Phobos (2015) / Ocentric,IAU:2015:40100,spherical,east
IAU,2015,40200,Deimos (2015) / Ographic,IAU:2015:40200,ellipsoidal,west
IAU,2015,40201,Deimos (2015) / Ocentric,IAU:2015:40200,spherical,east
IAU,2015,49900,Mars (2015) / Ographic,IAU:2015:49900,ellipsoidal,west
IAU,2015,49901,Mars (2015) / Ocentric,IAU:2015:49900,spherical,east
IAU,2015,50100,Io (2015) / Ographic,IAU:2015:50100,ellipsoidal,west
IAU,2015,50101,Io (2015) / Ocentric,IAU:2015:50100,spherical,east
IAU,2015,50200,Europa (2015) / Ographic,IAU:2015:50200,ellipsoidal,west
IAU,2015,50201,Europa (2015) / Ocentric,IAU:2015:50200,spherical,east
IAU,2015,50300,Ganymede (2015) / Ographic,IAU:2015:50300,ellipsoidal,west
IAU,2015,50301,Ganymede (2015) / Ocentric,IAU:2015:50300,spherical,east
IAU,2015,50400,Callisto (2015) / Ographic,IAU:2015:50400,ellipsoidal,west
IAU,2015,50401,Callisto (2015) / Ocentric,IAU:2015:50400,spherical,east
IAU,2015,50500,Amalthea (2015) / Ographic,IAU:2015:50500,ellipsoidal,west
IAU,2015,50501,Amalthea (2015) / Ocentric,IAU:2015:50500,spherical,east
IAU,2015,50601,Himalia (2015) / Ocentric,IAU:2015:50600,spherical,east
IAU,2015,50701,Elara (2015) / Ocentric,IAU:2015:50700,spherical,east
IAU,2015,50801,Pasiphae (2015) / Ocentric,IAU:2015:50800,spherical,east
