authority,version,code,name,baseCRS,method,parameter1Name,parameter1Value,parameter2Name,parameter2Value,parameter3Name,parameter3Value,parameter4Name,parameter4Value,parameter5Name,parameter5Value,parameter6Name,parameter6Value
IAU,2005,1011.0,"Sun (2015) / Ocentric / Equirectangular, clon=0",IAU:2015:1001.0,Equirectangular,False_Easting,0,False_Northing,0,Central_Meridian,0,latitude_Of_Origin,0.0,,,,
IAU,2005,1013.0,"Sun (2015) / Ocentric / Equirectangular, clon=180",IAU:2015:1001.0,Equirectangular,False_Easting,0,False_Northing,0,Central_Meridian,180,latitude_Of_Origin,0.0,,,,
IAU,2005,1015.0,"Sun (2015) / Ocentric / Sinusoidal, clon=0",IAU:2015:1001.0,Sinusoidal,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,,,,,,
IAU,2005,1017.0,"Sun (2015) / Ocentric / Sinusoidal, clon=180",IAU:2015:1001.0,Sinusoidal,False_Easting,0,False_Northing,0,Longitude_Of_Center,180,,,,,,
IAU,2005,1019.0,"Sun (2015) / Ocentric / North Polar, clon=0",IAU:2015:1001.0,Stereographic,False_Easting,0,False_Northing,0,Central_Meridian,0,Scale_Factor,1.0,Latitude_Of_Origin,90.0,,
IAU,2005,1021.0,"Sun (2015) / Ocentric / North Polar, clon=0",IAU:2015:1001.0,Stereographic,False_Easting,0,False_Northing,0,Central_Meridian,0,Scale_Factor,1.0,Latitude_Of_Origin,-90.0,,
IAU,2005,1023.0,"Sun (2015) / Ocentric / Mollweide, clon=0",IAU:2015:1001.0,Mollweide,False_Easting,0,False_Northing,0,Central_Meridian,0,,,,,,
IAU,2005,1025.0,"Sun (2015) / Ocentric / Mollweide, clon=180",IAU:2015:1001.0,Mollweide,False_Easting,0,False_Northing,0,Central_Meridian,180,,,,,,
IAU,2005,1027.0,"Sun (2015) / Ocentric / Robinson, clon=0",IAU:2015:1001.0,Robinson,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,,,,,,
IAU,2005,1029.0,"Sun (2015) / Ocentric / Robinson, clon=180",IAU:2015:1001.0,Robinson,False_Easting,0,False_Northing,0,Longitude_Of_Center,180,,,,,,
IAU,2005,1061.0,Sun (2015) / Ocentric / Auto Sinusoidal,IAU:2015:1001.0,Sinusoidal,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,,,,,,
IAU,2005,1063.0,Sun (2015) / Ocentric / Auto Stereographic,IAU:2015:1001.0,Stereographic,False_Easting,0,False_Northing,0,Central_Meridian,0,Scale_Factor,1.0,Latitude_Of_Origin,0.0,,
IAU,2005,1065.0,Sun (2015) / Ocentric / Auto Transverse Mercator,IAU:2015:1001.0,Transverse_Mercator,False_Easting,0,False_Northing,0,Central_Meridian,0,Scale_Factor,0.9996,Latitude_Of_Origin,0.0,,
IAU,2005,1067.0,Sun (2015) / Ocentric / Auto Orthographic,IAU:2015:1001.0,Orthographic,False_Easting,0,False_Northing,0,Central_Meridian,0,Latitude_Of_Origin,90.0,,,,
IAU,2005,1069.0,Sun (2015) / Ocentric / Auto Equidistant_Cylindrical,IAU:2015:1001.0,Equirectangular,False_Easting,0,False_Northing,0,Central_Meridian,180,latitude_Of_Origin,0.0,,,,
IAU,2005,1071.0,Sun (2015) / Ocentric / Auto Lambert_Conformal_Conic,IAU:2015:1001.0,Lambert_Conformal_Conic_2SP,False_Easting,0,False_Northing,0,Central_Meridian,0,Standard_Parallel_1,-20.0,Standard_Parallel_2,20.0,latitude_Of_Origin,0.0
IAU,2005,1073.0,Sun (2015) / Ocentric / Auto Lambert_Azimuthal_Equal_Area,IAU:2015:1001.0,Lambert_Azimuthal_Equal_Area,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,Latitude_Of_Center,90.0,,,,
IAU,2005,1075.0,Sun (2015) / Ocentric / Auto Mercator,IAU:2015:1001.0,Mercator_1SP,False_Easting,0,False_Northing,0,Central_Meridian,0,Scale_Factor,1.0,,,,
IAU,2005,1077.0,Sun (2015) / Ocentric / Auto Albers,IAU:2015:1001.0,Albers_Conic_Equal_Area,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,Standard_Parallel_1,60.0,Standard_Parallel_2,20.0,Latitude_Of_Center,40.0
IAU,2005,1081.0,Sun (2015) / Ocentric / Auto Mollweide,IAU:2015:1001.0,Mollweide,False_Easting,0,False_Northing,0,Central_Meridian,0,,,,,,
IAU,2005,1083.0,Sun (2015) / Ocentric / Auto Robinson,IAU:2015:1001.0,Robinson,False_Easting,0,False_Northing,0,Longitude_Of_Center,0,,,,,,
IAU,2005,19910.0,"Mercury (2015) / Ographic / Equirectangular, clon=0",IAU:2015:19900.0,Equirectangular,False_Easting,0,False_Northing,0,Central_Meridian,0,latitude_Of_Origin,0.0,,,,
